导演,演员2,演员1,电影,演员3,内容,评级,体裁,,,,
Shane Meadows,Paddy Considine,Bob Hoskins,A Room for Romeo Brass?,Shane Meadows,betrayal|family relationships|friendship|psychosis|stranger,R,Comedy,Drama,,,
Yimou Zhang,Ni Yan,Honglei Sun,"A Woman, a Gun and a Noodle Shop?",Dahong Ni,betrayal|husband wife relationship|murder|noodles|salary,R,Comedy,Drama,,,
Marcus Raboy,Tamala Jones,Mike Epps,The Janky Promoters?,Glenn Plummer,bigger dreams|concert promoter|hotel maid|pep talk|rap concert,R,Comedy,,,,
Jon Hurwitz,Dania Ramirez,Alyson Hannigan,American Reunion?,Natasha Lyonne,bikini|female female kiss|high school reunion|outdoor sex|upskirt,R,Comedy,,,,
Lisa Cholodenko,Mia Wasikowska,Josh Hutcherson,The Kids Are All Right?,Yaya DaCosta,biological father|college|motorcycle|sperm|sperm donor,R,Comedy,Drama,,,
Nima Nourizadeh,Kirby Bliss Blanton,Dax Flame,Project X?,Oliver Cooper,birthday party|high school|high school senior|millennial generation|party,R,Comedy,,,,
Charles Herman-Wurmfeld,Rian Bishop,John Enos III,The Hammer?,Adam Carolla,birthday|boxing|coach|gym|olympics,R,Comedy,,,,
Steven Soderbergh,Enrico Colantoni,Julia Roberts,Full Frontal?,Blair Underwood,birthday|friend|hollywood|party|sex,R,Comedy,,,,
Jay Duplass,Katie Aselton,Mark Duplass,The Puffy Chair?,Bari Hyman,birthday|gift|motel|new york city|upholsterer,R,Comedy,Drama,,,
Roger Avary,Faye Dunaway,Ian Somerhalder,The Rules of Attraction?,Clifton Collins Jr.,bisexual|college|drug dealer|drugs|student,R,Comedy,Drama,,,
Ben Wheatley,Tony Way,Michael Smiley,Down Terrace?,David Schaal,black comedy,R,Comedy,,Drama,,
Seth Gordon,Lindsay Sloane,Kevin Spacey,Horrible Bosses?,Reginald Ballard,black comedy|boss|chemical company|dental assistant|murder,R,Comedy,,,,
Greg Mottola,Joe Lo Truglio,Emma Stone,Superbad?,Kevin Corrigan,black comedy|bromance|party|school|teen comedy,R,Comedy,,,,
Bobcat Goldthwait,Daryl Sabara,Robin Williams,World's Greatest Dad?,Henry Simmons,black comedy|fictional talk show|high school teacher|phony suicide note|teacher,R,Comedy,Drama,,,
Jeff Franklin,Tyra Banks,Ivana Milicevic,Love Stinks?,Bridgette Wilson-Sampras,black comedy|marriage|marriage proposal|not taking no for an answer|obsessive woman,R,Comedy,,,,
Charles Matthau,Michael Jai White,Billy Burke,Freaky Deaky?,Bill Duke,black panties|bomb squad|car bomb|dynamite|girl in panties,R,Comedy,,,,
Reginald Hudlin,John Witherspoon,Will Ferrell,The Ladies Man?,Tim Meadows,black pantyhose|female stockinged legs|pantyhose|radio|tattoo,R,Comedy,,,,
Jake Kasdan,Ryan O'Neal,Kim Dickens,Zero Effect?,Angela Featherstone,blackmail|client|private detective|private investigator|tycoon,R,Comedy,,Drama,,
Dewey Nicks,Gedde Watanabe,Jaime King,Slackers?,Jim Rash,blackmail|fall|love|nerd|scam,R,Comedy,,,,
Jonathan Kesselman,Adam Goldberg,Judy Greer,The Hebrew Hammer?,Tony Cox,blaxploitation|hanukkah|jewish|kwanzaa|santa claus,R,Comedy,,,,
Daisy von Scherler Mayer,Jada Pinkett Smith,LL Cool J,Woo?,Dave Chappelle,blind date|law clerk|love|manhattan new york city|world trade center manhattan new york city,R,Comedy,,,,
Michel Gondry,Dave Chappelle,Common,Dave Chappelle's Block Party?,Lauryn Hill,block party|marching band|neighborhood|new york city|tyrannosaurus rex,R,Comedy,,,,
Todd Phillips,Rachel Blanchard,Ethan Suplee,Road Trip?,Paulo Costanzo,blonde|college|friend|highway travel|road trip,R,Comedy,,,,
Harold Ramis,Cathy Moriarty,Robert De Niro,Analyze That?,Joe Viterelli,blonde|mafia|mental illness|prison|second part,R,Comedy,,,,
Joseph Kahn,Shanley Caswell,Josh Hutcherson,Detention?,Parker Bagley,blood splatter|detention|high school|overalls|reference to c. thomas howell,R,Comedy,,,,
Christopher Smith,Toby Stephens,Danny Dyer,Severance?,Laura Harris,blood splatter|eastern europe|female nudity|pine forest|team building,R,Comedy,,,,
Wes Craven,W. Earl Brown,John Witherspoon,Vampire in Brooklyn?,Allen Payne,blood|destiny|nightmare|partner|vampire,R,Comedy,,,,
Ronny Yu,Park Bench,Alexis Arquette,Bride of Chucky?,Vince Corazza,blood|doll|gore|murder|serial killer,R,Comedy,,,,
Alexandre Aja,Kelly Brook,Adam Scott,Piranha 3D?,Jessica Szohr,bloody water|boat|party|piranha|spring break,R,Comedy,,,,
Keenen Ivory Wayans,Veronica Cartwright,Natasha Lyonne,Scary Movie 2?,Andy Richter,blow job|demon|exorcism|priest|professor,R,Comedy,,,,
Will Gluck,Justin Timberlake,Mila Kunis,Friends with Benefits?,Masi Oka,blow job|female rear nudity|girl in panties|male objectification|no panties,R,Comedy,,,,
John Michael McDonagh,Fionnula Flanagan,Don Cheadle,The Guard?,Wale Ojo,boat on fire|drug smuggling|fbi|fbi agent|small town,R,Comedy,,,,
Alexander Payne,Nick Krause,Shailene Woodley,The Descendants?,Beau Bridges,boating accident|daughters|father daughter relationship|hospital|marriage,R,Comedy,Drama,,,
Spike Jonze,Orson Bean,Willie Garson,Being John Malkovich?,Mary Kay Place,body swap|magical realism|portal|puppeteer|surrealism,R,Comedy,Drama,,,
David Gordon Green,Zoe Kazan,Dominic Flores,Our Brand Is Crisis?,Scoot McNairy,bolivia|box office flop|inspired by documentary|presidential campaign|year 2002,R,Comedy,Drama,,,
Daisy von Scherler Mayer,Dash Mihok,Michael McKean,The Guru?,Jimi Mistry,bollywood|illegal immigrant|live television|restaurant|waiter,R,Comedy,,,,
Jake Kasdan,John Michael Higgins,Justin Timberlake,Bad Teacher?,Phyllis Smith,boob job|breast enlargement|breast surgery|cheating on a test|ejaculation,R,Comedy,,,,
Julio DePietro,Scott Porter,Adrian Martinez,The Good Guy?,Aaron Yoo,book club|cheating boyfriend|job promotion|manhattan new york city|new york city,R,Comedy,,,,
Peter Care,Michael Harding,Kieran Culkin,The Dangerous Lives of Altar Boys?,Jake Richardson,book|boy|catholic|comic book|friend,R,Comedy,Drama,,,
Lasse Hallstr?m,Christopher Evan Welch,Hope Davis,The Hoax?,James Biberi,book|fabrication|fake|hoax|manuscript,R,Comedy,Drama,,,
Spike Jonze,Meryl Streep,Nicolas Cage,Adaptation.?,Roger Willie,book|orchid|screenwriter|thief|twin,R,Comedy,Drama,,,
Mike Judge,Stephen Root,Gary Cole,Office Space?,Diedrich Bader,boss|computer|downsizing|neighbor|office,R,Comedy,,,,
Andrew Bergman,Rumer Willis,Demi Moore,Striptease?,Paul Guilfoyle,bouncer|breasts|congressman|private dancer|stripper,R,Comedy,,Drama,,
Seth Gordon,Eric Stonestreet,Jon Favreau,Identity Thief?,T.I.,bounty hunter|credit card|cross country|identity|police,R,Comedy,,,,
Arthur Hiller,Harvey Weinstein,Eric Idle,An Alan Smithee Film: Burn Hollywood Burn?,Ryan O'Neal,box office flop|critically bashed|director|hollywood|mockumentary,R,Comedy,,,,
Gregory Poirier,Jake Busey,Shannon Elizabeth,Tomcats?,David Ogden Stiers,box office flop|critically bashed|dominatrix|friend|money,R,Comedy,,,,
Adam Jay Epstein,Denise Boutte,Rich Ceraulo,Extreme Movie?,Vanessa Lee Chester,box office flop|female frontal nudity|pink bra and panties|red bra and panties|sex,R,Comedy,,,,
Gabriele Muccino,Silvio Muccino,Laura Morante,"Remember Me, My Love?",Giulia Michelini,box office hit|dancer|sex scene|television|underage sex,R,Comedy,Drama,,,
Guy Ritchie,Brad Pitt,Jason Statham,Snatch?,Jason Flemyng,boxer|boxing|diamond|fight|gypsy,R,Comedy,,,,
Anthony Russo,Isaiah Washington,Michael Jeter,Welcome to Collinwood?,Andy Davoli,boxing knockout|heist|implied sex|keys|prison,R,Comedy,,,,
Ron Shelton,Robert Wagner,Willie Garson,Play It to the Bone?,Lolita Davidovich,boxing movie|friendship|highway travel|male rear nudity|road movie,R,Comedy,Drama,,,
Noah Baumbach,Elizabeth Meriwether,William Baldwin,The Squid and the Whale?,Owen Kline,boy|divorce|tennis|tennis coach|writer,R,Comedy,Drama,,,
Burr Steers,Rory Culkin,Kieran Culkin,Igby Goes Down?,Bill Irwin,boy|mistress|money|schizophrenic|school,R,Comedy,Drama,,,
Anna Muylaert,Regina Casé,Alex Huszar,The Second Mother?,Luis Miranda,brazil|exam|housekeeper|northeast region of brazil|portuguese language,R,Comedy,Drama,,,
Alan Rudolph,Albert Finney,Bruce Willis,Breakfast of Champions?,Omar Epps,breakfast|manitoba|science fiction writer|suicide|writer,R,Comedy,,,,
Lionel C. Martin,Gilbert Gottfried,Bernie Mac,How to Be a Player?,Lark Voorhies,breaking the fourth wall|doorman|friend|party|sex,R,Comedy,,,,
Nicholas Stoller,Jack McBrayer,Mila Kunis,Forgetting Sarah Marshall?,Maria Thayer,breakup|hawaii|hotel|male full frontal nudity|resort,R,Comedy,Drama,,,
Jerry Belson,Tim Thomerson,Cassandra Peterson,Jekyll and Hyde... Together Again?,Bess Armstrong,breasts growing|coors light|drugs|hospital|spinning in grave,R,Comedy,,,,
Matthew Hastings,Marc Trottier,Meghan Ory,Decoys?,Corey Sevier,breasts|campus|college|tentacle|virginity,R,Comedy,,,,
Judd Apatow,RZA,Adam Sandler,Funny People?,Maude Apatow,breasts|comedian|craigslist|infidelity|stand up comedian,R,Comedy,Drama,,,
Rodman Flender,Fred Willard,Vivica A. Fox,Idle Hands?,Elden Henson,breasts|female frontal nudity|nude woman murdered|slow motion scene|trailer home,R,Comedy,,,,
Howard Deutch,Taran Killam,Dane Cook,My Best Friend's Girl?,Riki Lindhome,breasts|female rear nudity|jesus crust pizza parlor|thong panties|wedding,R,Comedy,,,,
Mark Helfrich,Dan Fogler,Dane Cook,Good Luck Chuck?,Chelan Simmons,breasts|leg spreading|mini skirt|sex|sex in bed,R,Comedy,,,,
David Dobkin,Vince Vieluf,Janeane Garofalo,Clay Pigeons?,Kevin Rahm,breasts|serial killer|small town|vomiting|widow,R,Comedy,,,,
Joe Swanberg,Anna Kendrick,Olivia Wilde,Drinking Buddies?,Ti West,brewery|co worker|male female friendship|u haul truck|woman wearing a string bikini,R,Comedy,Drama,,,
Nicole Holofcener,Anne Heche,Kevin Corrigan,Walking and Talking?,Vincent Pastore,briefs|cancer|cat|cult film|friend,R,Comedy,Drama,,,
Edgar Wright,Dylan Moran,Peter Serafinowicz,Shaun of the Dead?,Rafe Spall,british horror|pub|record collection|zombie|zombie apocalypse,R,Comedy,,,,
Nicholas Stoller,Carla Gallo,Craig Roberts,Neighbors?,Ike Barinholtz,broken leg|friendship|jewish|topless female nudity|urination,R,Comedy,,,,
John Hamburg,Jon Favreau,J.K. Simmons,"I Love You, Man?",Jane Curtin,bromance|friend|gay brother|homosexual subtext|wedding,R,Comedy,,,,
Richard LaGravenese,Eddie Cibrian,Holly Hunter,Living Out Loud?,Jenette Goldstein,brooklyn bridge|divorce|female protagonist|female star appears nude|lingerie slip,R,Comedy,Drama,,,
Wes Anderson,Anjelica Huston,Bill Murray,The Royal Tenenbaums?,Seymour Cassel,brother brother relationship|family relationships|father daughter relationship|genius|thrown through a window,R,Comedy,Drama,,,
Shawn Levy,Abigail Spencer,Tina Fey,This Is Where I Leave You?,Jane Fonda,brother sister relationship|childhood home|man child|sibling|vomiting,R,Comedy,Drama,,,
Martin McDonagh,Anna Madeley,Elizabeth Berrington,In Bruges?,Eric Godon,bruges|bullet|hope|irish|tourist,R,Comedy,,Drama,,
F. Gary Gray,John Witherspoon,Nia Long,Friday?,Tony Cox,bully|drug dealer|first part|neighbor|neighborhood,R,Comedy,Drama,,,
Todd Solondz,Ken Leung,Heather Matarazzo,Welcome to the Dollhouse?,Christina Vidal,bully|first crush|school|social outcast|taunting,R,Comedy,Drama,,,
Ken Scott,June Diane Raphael,Tom Wilkinson,Unfinished Business?,Melissa McMeekin,business trip|company|glory hole|male frontal nudity|male nudity,R,Comedy,,,,
Neil LaBute,Matt Malloy,Stacy Edwards,In the Company of Men?,Jason Dixie,business trip|love|misogynist|office|secretary,R,Comedy,Drama,,,
Christine Jeffs,Mary Lynn Rajskub,Clifton Collins Jr.,Sunshine Cleaning?,Paul Dooley,business|crime scene cleanup|private school|school|sister sister relationship,R,Comedy,Drama,,,
Ben Falcone,Tyler Labine,Peter Dinklage,The Boss?,Ben Falcone,business|girl scouts|orphanage|overweight woman|quitting a job,R,Comedy,,,,
Garry Marshall,Hector Elizondo,Julia Roberts,Pretty Woman?,Jason Alexander,businessman|falling in love with a prostitute|hotel|prostitute|rich man poor woman,R,Comedy,,,,
Eli Craig,Tyler Labine,Katrina Bowden,Tucker and Dale vs Evil?,Chelan Simmons,cabin|chainsaw|college kid|hillbilly|vacation,R,Comedy,,,,
Harold Ramis,Rodney Dangerfield,Bill Murray,Caddyshack?,Brian Doyle-Murray,caddy|country club|golf course|gopher|nudity,R,Comedy,,,,
Larry Charles,Ken Davitian,Luenell,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan?,Chester,california|city|kazakhstan|travel|tv reporter,R,Comedy,,,,
Woody Allen,Naomi Watts,Anthony Hopkins,You Will Meet a Tall Dark Stranger?,Ewen Bremner,call girl|charlatan|fortune teller|manuscript|writer,R,Comedy,Drama,,,
Robert Luketic,John Michael Higgins,Gerard Butler,The Ugly Truth?,Eric Winter,call in|chick flick|date|hot air balloon|show producer,R,Comedy,,,,
Joseph Gordon-Levitt,Scarlett Johansson,Joseph Gordon-Levitt,Don Jon?,Tony Danza,camera focus on female butt|cunnilingus|new jersey|oral sex|reference to facebook,R,Comedy,Drama,,,
Etan Cohen,Alison Brie,Will Ferrell,Get Hard?,Craig T. Nelson,camera focus on female butt|gay bar|millionaire|singing in a car|two word title,R,Comedy,,,,
Tom Schulman,George Hamilton,Kristy Swanson,8 Heads in a Duffel Bag?,Dyan Cannon,camera shot of feet|female stockinged feet|female stockinged soles|nude pantyhose|pantyhose,R,Comedy,,,,
Howard Zieff,Albert Brooks,Eileen Brennan,Private Benjamin?,Alan Oppenheimer,camera shot of feet|female stockinged feet|loss of husband|pantyhose|suntan pantyhose,R,Comedy,,,,
Mike Nichols,Adrian Lester,Maura Tierney,Primary Colors?,Paul Guilfoyle,campaigning|candidate|election|governor|president,R,Comedy,Drama,,,
Jay Roach,Thomas Middleditch,Will Ferrell,The Campaign?,Katherine LaNasa,campaigning|congressman|north carolina|title at the end|u.s. congressman,R,Comedy,,,,
Kevin Smith,Haley Joel Osment,Johnny Depp,Tusk?,Michael Parks,canada|human becoming an animal|mad scientist|part of trilogy|walrus,R,Comedy,Drama,,,
Denys Arcand,Stéphane Rousseau,Marie-Josée Croze,The Barbarian Invasions?,Marina Hands,cancer|dying|friend|money|socialist,R,Comedy,,Drama,,
Karyn Kusama,Amy Sedaris,J.K. Simmons,Jennifer's Body?,Cynthia Stevenson,cannibalism|cheerleader|condom|hook for hand|satanic ritual,R,Comedy,,,,
Wes Anderson,Darryl Cox,Andrew Wilson,Bottle Rocket?,Lumi Cavazos,caper|escapade|motel|robbery|texas,R,Comedy,,Drama,,
Jason Reitman,Patton Oswalt,Charlize Theron,Young Adult?,Collette Wolfe,car damage|computer printer|female band|fingernail polish|narcissism,R,Comedy,Drama,,,
Gus Van Sant,Wayne Knight,Kurtwood Smith,To Die For?,Holland Taylor,career|fame|murder|new hampshire|television,R,Comedy,,Drama,,
Stephen Milburn Anderson,Mike Starr,Chris Hemsworth,Ca$h?,Paul Sanchez,cash|financial problem|heist|land rover|mortgage,R,Comedy,,,,
Ethan Coen,Tom Hanks,J.K. Simmons,The Ladykillers?,Stephen Root,casino|irony of fate|landlady|professor|remake,R,Comedy,,,,
Conor McMahon,Tommy Knight,Peter McQuinn,Stitches?,Jemma Curran,cat killer|death of animal|high heels|kneed in the crotch|kneed in the groin,R,Comedy,,,,
Dan Harris,Ryan Donowho,Kip Pardue,Imaginary Heroes?,Larry Fessenden,cat|christmas song|lawn mowing|leave of absence|medication,R,Comedy,Drama,,,
Cédric Klapisch,Zinedine Soualem,Simon Abkarian,When the Cat's Away?,Jane Bradbury,cat|homosexual sex|male homosexuality|neighborhood|noisy neighbor,R,Comedy,,,,
Mike Nichols,Bob Balaban,Bob Newhart,Catch-22?,Martin Balsam,catch 22|friend|insanity|kneed in the groin|military,R,Comedy,Drama,,,
Ice Cube,Monica Calhoun,Bernie Mac,The Players Club?,Chrystale Wilson,catfight|dominatrix|rape|spanking|stripper,R,Comedy,Drama,,,
Larry Charles,Tal Bachman,Bill Maher,Religulous?,Steve Burg,catholic|christian|jew|muslim|religion,R,Comedy,,,,
Nora Ephron,Michael Moore,Michael Rapaport,Lucky Numbers?,Richard Schiff,celebrity|lottery|murder|snowmobile|weatherman,R,Comedy,,,,
Steve Pink,Collette Wolfe,Charlie McDermott,Hot Tub Time Machine?,Crystal Lowe,cheating wife|drug reference|maintenance man|male vomiting|promiscuous woman,R,Comedy,,,,
Jean-Pierre Jeunet,Jamel Debbouze,Mathieu Kassovitz,Amélie?,Isabelle Nanty,cheerfulness|female protagonist|garden gnome|magical realism|waitress,R,Comedy,,,,
Joel Gallen,JoAnna Garcia Swisher,Chris Evans,Not Another Teen Movie?,Mia Kirshner,cheerleader|foreign exchange student|incestuous desire|incestuous kiss|prom,R,Comedy,,,,
Jamie Babbit,Clea DuVall,Natasha Lyonne,But I'm a Cheerleader?,Eddie Cibrian,cheerleader|gay|homosexual|lesbian|lesbian relationship,R,Comedy,Drama,,,
Jeff Garlin,Jeff Garlin,Jessy Schram,I Want Someone to Eat Cheese With?,Joey Slotnick,cheese|city|ice cream|school|second city,R,Comedy,,,,
John Wells,Omar Sy,Bradley Cooper,Burnt?,Riccardo Scamarcio,chef|gay kiss|michelin star|restaurant|violent behavior,R,Comedy,Drama,,,
Joe Swanberg,Lena Dunham,Anna Kendrick,Happy Christmas?,Mark Webber,chicago illinois|drink|drinking|filmmaker|writer,R,Comedy,Drama,,,
Colin Higgins,Barry Corbin,Dolly Parton,The Best Little Whorehouse in Texas?,Dom DeLuise,chicken|governor|locker room|sheriff|texas,R,Comedy,,,,
Rusty Cundieff,Clarence Williams III,Corbin Bernsen,Tales from the Hood?,David Alan Grier,child abuse|death|drugs|ku klux klan|police brutality,R,Comedy,,,,
Jeff Tremaine,Georgina Cates,Jackson Nicoll,Bad Grandpa?,Grasie Mercedes,child beauty pageant|grandson|hidden camera|jackass|road trip,R,Comedy,,,,
Malcolm D. Lee,Sanaa Lathan,Harold Perrineau,The Best Man Holiday?,Eddie Cibrian,childbirth|christmas|gay slur|infidelity|punched in the nose,R,Comedy,Drama,,,
David Wain,Lauren Ambrose,Justin Theroux,Wanderlust?,Joe Lo Truglio,childbirth|female frontal nudity|nude protest|nudist|skinny dipping,R,Comedy,,,,
Danny DeVito,Vincent Schiavelli,Robin Williams,Death to Smoochy?,Danny Woodburn,children|children's tv show|money|revenge|scandal,R,Comedy,,Drama,,
Gary Sinyor,Frank Finlay,Sean Pertwee,Stiff Upper Lips?,Samuel West,class conflict|edwardian era|england|sexual awakening|spoof,R,Comedy,,,,
Michael Corrente,George Wendt,Jonathan Brandis,Outside Providence?,Shawn Hatosy,class|cornwall connecticut|dog|friend|pawtucket rhode island,R,Comedy,Drama,,,
Colin Trevorrow,Mark Duplass,Mary Lynn Rajskub,Safety Not Guaranteed?,Jeff Garlin,classified ad|intern|magazine|time machine|time travel,R,Comedy,Drama,,,
Kevin Smith,Brian O'Halloran,Jason Mewes,Clerks?,Jeff Anderson,clerk|friend|hockey|video|video store,R,Comedy,,,,
David S. Ward,Tom Berenger,Corbin Bernsen,Major League?,Rene Russo,cleveland indians|league|manager|owner|team,R,Comedy,,,,
Shari Springer Berman,Marian Seldes,Lynn Cohen,The Extra Man?,Dan Hedaya,co worker|escort|magazine|teacher|writer,R,Comedy,,,,
Nicholaus Goossen,Joel David Moore,Linda Cardellini,Grandma's Boy?,Shirley Jones,co worker|game tester|loss of virginity|roommate|snack,R,Comedy,,,,
Brian Robbins,Ron Lester,Paul Walker,Varsity Blues?,Mark Walters,coach|coyote|popularity|quarterback|texas,R,Comedy,Drama,,,
David O. Russell,Lily Tomlin,Naomi Watts,I Heart Huckabees?,Isabelle Huppert,coincidence|cult film|overalls|suburb|vomiting,R,Comedy,,,,
Neil Burger,Katherine LaNasa,John Heard,The Lucky Ones?,Mark L. Young,college tuition|guitar|road trip|soldier|stranded,R,Comedy,Drama,,,
Alan Cohn,Linda Cardellini,Alyson Hannigan,Dead Man on Campus?,Poppy Montgomery,college|college roommate|party|roommate|student,R,Comedy,,,,
Wallace Wolodarsky,Barry Watson,Heather Matarazzo,Sorority Boys?,Harland Williams,college|cruise|drag|female armpit hair|sorority,R,Comedy,,,,
Jesse Dylan,Fred Willard,Hector Elizondo,How High?,T.J. Thyne,college|drugs|harvard|pot|smoke,R,Comedy,,,,
Lawrence Kasdan,Alfre Woodard,Zooey Deschanel,Mumford?,Mary McDonnell,college|drugs|patient|psychologist|secret,R,Comedy,Drama,,,
Deb Hagan,Alona Tal,Drake Bell,College?,Haley Bennett,college|face slap|high school|loss of virginity|pierced nipple,R,Comedy,,,,
Todd Phillips,Leah Remini,Will Ferrell,Old School?,Patrick Fischler,college|fraternity|friend|house|party,R,Comedy,,,,
